Year,Jurisdiction,Category,Stream,Management,Fate,Tonnes,Core or non-core
"2020-2021","NT","Hazardous wastes","C&I","Landfill","Disposal","23373.1859455814","Core waste"
"2020-2021","NT","Hazardous wastes","C&I","Other disposal","Disposal","2278.6513230612","Core waste"
"2020-2021","NT","Hazardous wastes","C&I","Recycling","Recycling","21433.1206878765","Core waste"
"2020-2021","NT","Hazardous wastes","C&I","Treatment","Disposal","5039.22023415302","Core waste"
"2020-2021","NT","Hazardous wastes","C&I","Treatment","Energy recovery","1305.9283169693","Core waste"
"2020-2021","NT","Hazardous wastes","C&I","Treatment","Recycling","7827.05793942096","Core waste"
"2020-2021","NT","Metals","C&D","Landfill","Disposal","1357.52602977677","Core waste"
"2020-2021","NT","Metals","C&D","Recycling","Recycling","0","Core waste"
"2020-2021","NT","Metals","C&I","Landfill","Disposal","5460.07088450365","Core waste"
"2020-2021","NT","Metals","C&I","Recycling","Recycling","0","Core waste"
"2020-2021","NT","Metals","MSW","Landfill","Disposal","5178.40010537425","Core waste"
"2020-2021","NT","Metals","MSW","Recycling","Recycling","4514.7","Core waste"
"2020-2021","NT","Organics","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NT","Organics","C&D","Landfill","Disposal","5097.41258339224","Core waste"
"2020-2021","NT","Organics","C&D","Landfill","Energy recovery","25.3310625757909","Core waste"
"2020-2021","NT","Organics","C&D","Recycling","Recycling","0","Core waste"
"2020-2021","NT","Organics","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NT","Organics","C&I","Landfill","Disposal","50806.940264453","Core waste"
"2020-2021","NT","Organics","C&I","Landfill","Energy recovery","728.418985868567","Core waste"
"2020-2021","NT","Organics","C&I","Recycling","Recycling","0","Core waste"
"2020-2021","NT","Organics","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NT","Organics","MSW","Landfill","Disposal","63074.9183699198","Core waste"
"2020-2021","NT","Organics","MSW","Landfill","Energy recovery","1129.92512832764","Core waste"
"2020-2021","NT","Organics","MSW","Recycling","Recycling","7633","Core waste"
"2020-2021","NT","Paper & cardboard","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NT","Paper & cardboard","C&D","Landfill","Disposal","1896.68129014281","Core waste"
"2020-2021","NT","Paper & cardboard","C&D","Landfill","Energy recovery","24.3475770952042","Core waste"
"2020-2021","NT","Paper & cardboard","C&D","Recycling","Recycling","0","Core waste"
"2020-2021","NT","Paper & cardboard","C&I","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NT","Paper & cardboard","C&I","Landfill","Disposal","19966.4281401566","Core waste"
"2020-2021","NT","Paper & cardboard","C&I","Landfill","Energy recovery","256.307768197426","Core waste"
"2020-2021","NT","Paper & cardboard","C&I","Recycling","Recycling","0","Core waste"
"2020-2021","NT","Paper & cardboard","MSW","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NT","Paper & cardboard","MSW","Landfill","Disposal","14585.5619184294","Core waste"
"2020-2021","NT","Paper & cardboard","MSW","Landfill","Energy recovery","187.233930724911","Core waste"
"2020-2021","NT","Paper & cardboard","MSW","Recycling","Recycling","609","Core waste"
"2020-2021","NT","Plastics","C&D","Landfill","Disposal","1276.70734310698","Core waste"
"2020-2021","NT","Plastics","C&D","Recycling","Recycling","0","Core waste"
"2020-2021","NT","Plastics","C&I","Landfill","Disposal","22421.8659779384","Core waste"
"2020-2021","NT","Plastics","C&I","Recycling","Recycling","100.549491515798","Core waste"
"2020-2021","NT","Plastics","MSW","Landfill","Disposal","18574.5073313169","Core waste"
"2020-2021","NT","Plastics","MSW","Recycling","Recycling","601.371483349278","Core waste"
"2020-2021","NT","Textiles, leather & rubber (excl. tyres)","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","NT","Textiles, leather & rubber (excl. tyres)","C&D","Landfill","Disposal","0","Core waste"
"2020-2021","NT","Textiles, leather & rubber (excl. tyres)","C&D","Landfill","Energy recovery","0","Core waste"
"2020-2021","NT","Textiles, leather & rubber (excl. tyres)","C&I","Energy from waste facility","Energy recovery","0","Core waste"
